name,address,light,parking,phone,rate
"tennis court , Kiryat Rishon","golda meir , kiryat rishon",yes,yes,no,"0"
"tennis court , Sport Center 3",ben gurion bld 45,yes,yes,03-9568992,"0"
"tennis court, Sport Center 5",ben gurion bld 45,yes,yes,03-9568992,"0"
"tennis court , Sport Center 4",ben gurion bld 45,yes,yes,03-9568992,"0"
"tennis court , Sport Center 1",ben gurion bld 45,yes,yes,03-9568992,"0"
"tennis court , Sport Center 2",ben gurion bld 45,yes,yes,03-9568992,"0"
"tennis court , Mordey Hagetaot",Mordey Ha-getaot,yes,yes,"0542383938","0"
